Topics,Coherence
3,0.58902036146552
3,0.58902036146552
4,0.5268817067334056
5,0.4551269359999541
6,0.4949906525254071
7,0.5559963499773951
8,0.47754657395430156
9,0.4852031536239424
10,0.5520988236089545
